to,1992M12,from
Denmark,0,Burundi
Greece,0,Burundi
Spain,0,Burundi
Finland,0,Burundi
France,5,Burundi
Italy,0,Burundi
Portugal,0,Burundi
Romania,0,Burundi
Austria,0,Comoros
Belgium,0,Comoros
Denmark,0,Comoros
Greece,0,Comoros
Spain,0,Comoros
Finland,0,Comoros
France,5,Comoros
Italy,0,Comoros
Portugal,0,Comoros
Romania,0,Comoros
Austria,0,Djibouti
Denmark,0,Djibouti
Greece,0,Djibouti
Spain,0,Djibouti
Finland,0,Djibouti
France,10,Djibouti
Italy,0,Djibouti
Portugal,0,Djibouti
Romania,0,Djibouti
Austria,0,Eritrea
Romania,0,Eritrea
Austria,0,Ethiopia
Belgium,25,Ethiopia
Germany,1590,Ethiopia
Denmark,15,Ethiopia
Greece,0,Ethiopia
Spain,55,Ethiopia
Finland,15,Ethiopia
France,30,Ethiopia
Italy,360,Ethiopia
Netherlands,300,Ethiopia
Portugal,0,Ethiopia
Romania,0,Ethiopia
Sweden,170,Ethiopia
United Kingdom,680,Ethiopia
Austria,0,Kenya
Belgium,5,Kenya
Denmark,5,Kenya
Greece,0,Kenya
Spain,5,Kenya
Finland,0,Kenya
France,0,Kenya
Italy,0,Kenya
Portugal,0,Kenya
Romania,0,Kenya
Austria,0,Madagascar
Belgium,0,Madagascar
Denmark,0,Madagascar
Greece,0,Madagascar
Spain,0,Madagascar
Finland,0,Madagascar
France,35,Madagascar
Italy,0,Madagascar
Portugal,0,Madagascar
Romania,0,Madagascar
Austria,0,Malawi
Belgium,0,Malawi
Denmark,0,Malawi
Greece,0,Malawi
Spain,0,Malawi
Finland,0,Malawi
Italy,0,Malawi
Portugal,0,Malawi
Romania,0,Malawi
Austria,0,Mauritius
Denmark,0,Mauritius
Greece,0,Mauritius
Spain,0,Mauritius
Finland,0,Mauritius
France,65,Mauritius
Italy,0,Mauritius
Portugal,0,Mauritius
Romania,0,Mauritius
Austria,0,Mozambique
Belgium,0,Mozambique
Denmark,0,Mozambique
Greece,0,Mozambique
Spain,20,Mozambique
Finland,0,Mozambique
France,0,Mozambique
Italy,0,Mozambique
Portugal,0,Mozambique
Romania,0,Mozambique
Austria,0,Rwanda
Belgium,70,Rwanda
Denmark,5,Rwanda
Greece,0,Rwanda
Spain,0,Rwanda
Finland,0,Rwanda
France,20,Rwanda
Italy,10,Rwanda
Portugal,0,Rwanda
Romania,0,Rwanda
Austria,0,Seychelles
Belgium,5,Seychelles
Denmark,0,Seychelles
Greece,0,Seychelles
Spain,0,Seychelles
Finland,0,Seychelles
France,0,Seychelles
Italy,0,Seychelles
Portugal,0,Seychelles
Romania,0,Seychelles
Austria,95,Somalia
Belgium,110,Somalia
Denmark,895,Somalia
Greece,0,Somalia
Spain,40,Somalia
Finland,170,Somalia
France,190,Somalia
Italy,380,Somalia
Luxembourg,0,Somalia
Netherlands,4245,Somalia
Portugal,0,Somalia
Romania,0,Somalia
Sweden,2700,Somalia
United Kingdom,1575,Somalia
Austria,0,Uganda
Belgium,5,Uganda
Denmark,100,Uganda
Greece,0,Uganda
Spain,0,Uganda
Finland,0,Uganda
France,5,Uganda
Italy,0,Uganda
Netherlands,15,Uganda
Portugal,0,Uganda
Romania,0,Uganda
Sweden,75,Uganda
United Kingdom,295,Uganda
Austria,0,Tanzania
Denmark,0,Tanzania
Greece,0,Tanzania
Spain,0,Tanzania
Finland,0,Tanzania
Italy,0,Tanzania
Portugal,0,Tanzania
Romania,0,Tanzania
Austria,0,Zambia
Denmark,0,Zambia
Greece,0,Zambia
Spain,0,Zambia
Finland,0,Zambia
Italy,0,Zambia
Portugal,0,Zambia
Romania,0,Zambia
Austria,0,Zimbabwe
Denmark,0,Zimbabwe
Greece,0,Zimbabwe
Spain,0,Zimbabwe
Finland,0,Zimbabwe
Italy,0,Zimbabwe
Portugal,0,Zimbabwe
Romania,0,Zimbabwe
Austria,0,Algeria
Belgium,60,Algeria
Germany,7670,Algeria
Denmark,5,Algeria
Greece,0,Algeria
Spain,45,Algeria
Finland,10,Algeria
France,620,Algeria
Italy,0,Algeria
Luxembourg,0,Algeria
Netherlands,145,Algeria
Portugal,0,Algeria
Romania,0,Algeria
Sweden,110,Algeria
Austria,0,Egypt
Belgium,10,Egypt
Denmark,10,Egypt
Greece,0,Egypt
Spain,5,Egypt
Finland,5,Egypt
France,75,Egypt
Italy,10,Egypt
Luxembourg,0,Egypt
Netherlands,25,Egypt
Portugal,0,Egypt
Romania,0,Egypt
Sweden,110,Egypt
Austria,0,Libya
Belgium,5,Libya
Denmark,5,Libya
Greece,0,Libya
Spain,5,Libya
Finland,0,Libya
France,5,Libya
Italy,0,Libya
Netherlands,20,Libya
Portugal,0,Libya
Romania,0,Libya
Sweden,15,Libya
Austria,0,Morocco
Belgium,105,Morocco
Denmark,0,Morocco
Greece,0,Morocco
Spain,20,Morocco
Finland,0,Morocco
France,55,Morocco
Italy,0,Morocco
Netherlands,70,Morocco
Portugal,0,Morocco
Romania,0,Morocco
Sweden,95,Morocco
Austria,0,Sudan
Belgium,15,Sudan
Denmark,10,Sudan
Greece,20,Sudan
Spain,10,Sudan
Finland,5,Sudan
France,30,Sudan
Italy,10,Sudan
Netherlands,95,Sudan
Portugal,0,Sudan
Romania,0,Sudan
United Kingdom,560,Sudan
Austria,0,Tunisia
Belgium,5,Tunisia
Denmark,5,Tunisia
Greece,0,Tunisia
Spain,0,Tunisia
Finland,0,Tunisia
France,200,Tunisia
Italy,0,Tunisia
Portugal,0,Tunisia
Romania,0,Tunisia
Sweden,55,Tunisia
Austria,0,Western Sahara
Denmark,0,Western Sahara
Greece,0,Western Sahara
Spain,0,Western Sahara
Finland,0,Western Sahara
Italy,0,Western Sahara
Portugal,0,Western Sahara
Romania,0,Western Sahara
Austria,0,Botswana
Belgium,0,Botswana
Denmark,0,Botswana
Greece,0,Botswana
Spain,0,Botswana
Finland,0,Botswana
France,0,Botswana
Italy,0,Botswana
Portugal,0,Botswana
Romania,0,Botswana
Austria,0,Lesotho
Denmark,0,Lesotho
Greece,0,Lesotho
Spain,0,Lesotho
Finland,0,Lesotho
Italy,0,Lesotho
Portugal,0,Lesotho
Romania,0,Lesotho
Romania,0,Namibia
Austria,0,South Africa
Belgium,10,South Africa
Denmark,0,South Africa
Greece,0,South Africa
Spain,70,South Africa
Finland,0,South Africa
France,5,South Africa
Italy,0,South Africa
Netherlands,20,South Africa
Portugal,5,South Africa
Romania,0,South Africa
Sweden,15,South Africa
United Kingdom,40,South Africa
Austria,0,Swaziland
Denmark,0,Swaziland
Greece,0,Swaziland
Spain,0,Swaziland
Finland,0,Swaziland
Italy,0,Swaziland
Portugal,0,Swaziland
Romania,0,Swaziland
Austria,0,Benin
Belgium,10,Benin
Denmark,0,Benin
Greece,0,Benin
Spain,0,Benin
Finland,0,Benin
France,5,Benin
Italy,0,Benin
Luxembourg,0,Benin
Portugal,0,Benin
Romania,0,Benin
United Kingdom,15,Benin
Austria,0,Burkina Faso
Belgium,50,Burkina Faso
Denmark,0,Burkina Faso
Greece,0,Burkina Faso
Spain,0,Burkina Faso
Finland,0,Burkina Faso
France,15,Burkina Faso
Italy,0,Burkina Faso
Luxembourg,5,Burkina Faso
Netherlands,15,Burkina Faso
Portugal,0,Burkina Faso
Romania,0,Burkina Faso
Austria,0,Cape Verde
Belgium,0,Cape Verde
Denmark,0,Cape Verde
Greece,0,Cape Verde
Spain,5,Cape Verde
Finland,0,Cape Verde
France,100,Cape Verde
Italy,0,Cape Verde
Portugal,0,Cape Verde
Romania,0,Cape Verde
Austria,0,Côte d'Ivoire
Belgium,80,Côte d'Ivoire
Denmark,10,Côte d'Ivoire
Greece,0,Côte d'Ivoire
Spain,15,Côte d'Ivoire
Finland,0,Côte d'Ivoire
France,95,Côte d'Ivoire
Italy,0,Côte d'Ivoire
Netherlands,15,Côte d'Ivoire
Portugal,5,Côte d'Ivoire
Romania,0,Côte d'Ivoire
United Kingdom,310,Côte d'Ivoire
Austria,0,"Gambia, The"
Belgium,10,"Gambia, The"
Denmark,145,"Gambia, The"
Greece,0,"Gambia, The"
Spain,10,"Gambia, The"
Finland,25,"Gambia, The"
France,65,"Gambia, The"
Italy,0,"Gambia, The"
Portugal,0,"Gambia, The"
Romania,0,"Gambia, The"
Austria,200,Ghana
Belgium,970,Ghana
Germany,6995,Ghana
Denmark,20,Ghana
Greece,0,Ghana
Spain,110,Ghana
Finland,5,Ghana
France,445,Ghana
Italy,0,Ghana
Netherlands,140,Ghana
Portugal,10,Ghana
Romania,0,Ghana
Sweden,30,Ghana
United Kingdom,1600,Ghana
Austria,0,Guinea
Belgium,195,Guinea
Denmark,10,Guinea
Greece,0,Guinea
Spain,105,Guinea
Finland,0,Guinea
France,795,Guinea
Italy,0,Guinea
Luxembourg,0,Guinea
Netherlands,20,Guinea
Portugal,0,Guinea
Romania,0,Guinea
Sweden,0,Guinea
Austria,0,Guinea-Bissau
Belgium,0,Guinea-Bissau
Denmark,0,Guinea-Bissau
Greece,0,Guinea-Bissau
Spain,370,Guinea-Bissau
Finland,0,Guinea-Bissau
France,160,Guinea-Bissau
Italy,0,Guinea-Bissau
Portugal,0,Guinea-Bissau
Romania,0,Guinea-Bissau
Sweden,0,Guinea-Bissau
Austria,0,Liberia
Belgium,250,Liberia
Denmark,55,Liberia
Greece,0,Liberia
Spain,380,Liberia
Finland,20,Liberia
France,80,Liberia
Italy,10,Liberia
Luxembourg,0,Liberia
Netherlands,340,Liberia
Portugal,10,Liberia
Romania,0,Liberia
Austria,0,Mali
Belgium,10,Mali
Denmark,0,Mali
Greece,0,Mali
Spain,55,Mali
Finland,5,Mali
France,1130,Mali
Italy,0,Mali
Luxembourg,0,Mali
Netherlands,10,Mali
Portugal,0,Mali
Romania,0,Mali
Sweden,10,Mali
Austria,0,Mauritania
Belgium,15,Mauritania
Denmark,0,Mauritania
Greece,0,Mauritania
Spain,75,Mauritania
Finland,0,Mauritania
France,610,Mauritania
Italy,0,Mauritania
Netherlands,20,Mauritania
Portugal,0,Mauritania
Romania,0,Mauritania
Sweden,10,Mauritania
Austria,0,Niger
Belgium,80,Niger
Denmark,0,Niger
Greece,0,Niger
Spain,0,Niger
Finland,0,Niger
France,85,Niger
Italy,0,Niger
Portugal,0,Niger
Romania,0,Niger
Austria,545,Nigeria
Belgium,530,Nigeria
Germany,10485,Nigeria
Denmark,20,Nigeria
Greece,0,Nigeria
Spain,90,Nigeria
Finland,10,Nigeria
France,65,Nigeria
Italy,0,Nigeria
Netherlands,235,Nigeria
Portugal,5,Nigeria
Romania,0,Nigeria
Sweden,25,Nigeria
United Kingdom,615,Nigeria
Austria,0,Senegal
Belgium,75,Senegal
Denmark,10,Senegal
Greece,0,Senegal
Spain,1005,Senegal
Finland,0,Senegal
France,440,Senegal
Italy,0,Senegal
Portugal,0,Senegal
Romania,0,Senegal
Sweden,10,Senegal
Austria,0,Sierra Leone
Belgium,70,Sierra Leone
Denmark,15,Sierra Leone
Greece,0,Sierra Leone
Spain,15,Sierra Leone
Finland,0,Sierra Leone
France,10,Sierra Leone
Italy,0,Sierra Leone
Luxembourg,0,Sierra Leone
Netherlands,30,Sierra Leone
Portugal,5,Sierra Leone
Romania,0,Sierra Leone
Austria,0,Togo
Belgium,450,Togo
Denmark,5,Togo
Greece,0,Togo
Spain,5,Togo
Finland,0,Togo
France,50,Togo
Italy,0,Togo
Luxembourg,5,Togo
Netherlands,35,Togo
Portugal,5,Togo
Romania,0,Togo
United Kingdom,35,Togo
Austria,0,America
Belgium,160,America
Germany,355,America
Denmark,20,America
Greece,0,America
Spain,4905,America
Finland,30,America
France,925,America
Italy,20,America
Luxembourg,5,America
Netherlands,100,America
Portugal,0,America
Sweden,1435,America
United Kingdom,320,America
Austria,0,Canada
Denmark,0,Canada
Finland,0,Canada
Italy,0,Canada
Luxembourg,0,Canada
Portugal,0,Canada
Romania,0,Canada
Sweden,0,Canada
Austria,0,United States
Denmark,0,United States
Spain,0,United States
Finland,0,United States
France,0,United States
Italy,0,United States
Luxembourg,0,United States
Portugal,0,United States
Romania,0,United States
Sweden,25,United States
Austria,0,Antigua and Barbuda
Romania,0,Antigua and Barbuda
Austria,0,Bahamas
Belgium,0,Bahamas
Denmark,0,Bahamas
Spain,0,Bahamas
Finland,0,Bahamas
Italy,0,Bahamas
Luxembourg,0,Bahamas
Portugal,0,Bahamas
Romania,0,Bahamas
Austria,0,Barbados
Denmark,0,Barbados
Finland,0,Barbados
France,0,Barbados
Italy,0,Barbados
Luxembourg,0,Barbados
Portugal,0,Barbados
Romania,0,Barbados
Austria,0,Cuba
Belgium,10,Cuba
Denmark,0,Cuba
Spain,365,Cuba
Finland,25,Cuba
France,25,Cuba
Italy,20,Cuba
Luxembourg,0,Cuba
Portugal,0,Cuba
Romania,0,Cuba
Sweden,145,Cuba
Austria,0,Dominica
Romania,0,Dominica
Austria,0,Dominican Republic
Denmark,0,Dominican Republic
Spain,1140,Dominican Republic
Finland,0,Dominican Republic
France,0,Dominican Republic
Italy,0,Dominican Republic
Luxembourg,0,Dominican Republic
Portugal,0,Dominican Republic
Romania,0,Dominican Republic
Austria,0,Grenada
Denmark,0,Grenada
Finland,0,Grenada
Italy,0,Grenada
Luxembourg,0,Grenada
Portugal,0,Grenada
Romania,0,Grenada
Austria,0,Haiti
Belgium,5,Haiti
Denmark,0,Haiti
Spain,0,Haiti
Finland,0,Haiti
France,565,Haiti
Italy,0,Haiti
Luxembourg,0,Haiti
Portugal,0,Haiti
Romania,0,Haiti
Austria,0,Jamaica
Belgium,0,Jamaica
Denmark,0,Jamaica
Spain,0,Jamaica
Finland,0,Jamaica
France,0,Jamaica
Italy,0,Jamaica
Luxembourg,0,Jamaica
Portugal,0,Jamaica
Romania,0,Jamaica
Sweden,0,Jamaica
Austria,0,Saint Kitts and Nevis
Romania,0,Saint Kitts and Nevis
Austria,0,Saint Lucia
Romania,0,Saint Lucia
Austria,0,Saint Vincent and the Grenadines
Romania,0,Saint Vincent and the Grenadines
Austria,0,Trinidad and Tobago
Denmark,0,Trinidad and Tobago
Finland,0,Trinidad and Tobago
Italy,0,Trinidad and Tobago
Luxembourg,0,Trinidad and Tobago
Portugal,0,Trinidad and Tobago
Romania,0,Trinidad and Tobago
Austria,0,Belize
Romania,0,Belize
Austria,0,Costa Rica
Belgium,0,Costa Rica
Denmark,0,Costa Rica
Finland,0,Costa Rica
France,0,Costa Rica
Italy,0,Costa Rica
Luxembourg,0,Costa Rica
Portugal,0,Costa Rica
Romania,0,Costa Rica
Austria,0,El Salvador
Belgium,0,El Salvador
Denmark,0,El Salvador
Spain,5,El Salvador
Finland,0,El Salvador
France,0,El Salvador
Italy,0,El Salvador
Luxembourg,0,El Salvador
Portugal,0,El Salvador
Romania,0,El Salvador
Austria,0,Guatemala
Belgium,0,Guatemala
Denmark,0,Guatemala
Spain,0,Guatemala
Finland,0,Guatemala
France,0,Guatemala
Italy,0,Guatemala
Luxembourg,0,Guatemala
Portugal,0,Guatemala
Romania,0,Guatemala
Austria,0,Honduras
Denmark,0,Honduras
Spain,0,Honduras
Finland,0,Honduras
Italy,0,Honduras
Luxembourg,0,Honduras
Portugal,0,Honduras
Romania,0,Honduras
Austria,0,Mexico
Denmark,0,Mexico
Spain,0,Mexico
Finland,0,Mexico
France,0,Mexico
Italy,0,Mexico
Luxembourg,0,Mexico
Portugal,0,Mexico
Romania,0,Mexico
Sweden,10,Mexico
Austria,0,Nicaragua
Belgium,0,Nicaragua
Denmark,0,Nicaragua
Spain,5,Nicaragua
Finland,0,Nicaragua
France,0,Nicaragua
Italy,0,Nicaragua
Luxembourg,0,Nicaragua
Portugal,0,Nicaragua
Romania,0,Nicaragua
Austria,0,Panama
Denmark,0,Panama
Finland,0,Panama
France,0,Panama
Italy,0,Panama
Luxembourg,0,Panama
Portugal,0,Panama
Romania,0,Panama
Austria,0,Argentina
Denmark,0,Argentina
Spain,10,Argentina
Finland,0,Argentina
France,0,Argentina
Italy,0,Argentina
Luxembourg,0,Argentina
Portugal,0,Argentina
Romania,0,Argentina
Sweden,5,Argentina
Austria,0,Bolivia
Belgium,0,Bolivia
Denmark,0,Bolivia
