to,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,from
Croatia,0,0,0,0,0,0,5,0,,Bulgaria
Italy,,,,,,,,,,Bulgaria
Cyprus,0,0,0,0,0,0,0,,,Bulgaria
Latvia,0,0,0,0,0,0,0,,,Bulgaria
Lithuania,0,0,0,0,0,0,0,0,,Bulgaria
Luxembourg,0,0,0,0,0,0,0,0,,Bulgaria
Hungary,0,0,0,0,0,0,0,0,,Bulgaria
Malta,0,0,0,0,0,0,0,,,Bulgaria
Netherlands,0,0,0,0,0,0,0,0,,Bulgaria
Austria,0,0,0,0,0,0,0,,,Bulgaria
Poland,0,0,0,0,0,0,0,0,0,Bulgaria
Portugal,0,0,0,0,0,0,0,,,Bulgaria
Romania,0,0,0,0,0,0,0,,,Bulgaria
Slovenia,0,0,0,0,0,0,0,0,,Bulgaria
Slovakia,0,0,0,0,0,0,0,,,Bulgaria
Finland,0,0,0,0,0,0,0,0,0,Bulgaria
Sweden,0,0,0,0,0,0,0,0,0,Bulgaria
United Kingdom,0,0,0,0,0,0,0,,,Bulgaria
Belgium,0,0,0,0,0,0,0,0,,Czech Republic
Bulgaria,0,0,0,0,0,0,0,0,,Czech Republic
Czech Republic,0,0,0,0,0,0,0,,,Czech Republic
Denmark,0,0,0,0,0,0,0,,,Czech Republic
Germany,0,0,0,0,0,0,0,0,,Czech Republic
Estonia,0,0,0,0,0,0,0,,,Czech Republic
Ireland,0,0,0,0,0,0,0,,,Czech Republic
Greece,0,0,0,0,0,0,0,,,Czech Republic
Spain,0,0,0,0,0,0,,,,Czech Republic
France,0,0,0,0,0,0,0,,,Czech Republic
Croatia,0,0,0,0,0,0,0,0,,Czech Republic
Italy,,,,,,,,,,Czech Republic
Cyprus,0,0,0,0,0,0,0,,,Czech Republic
Latvia,0,0,0,0,0,0,0,,,Czech Republic
Lithuania,0,0,0,0,0,0,0,0,,Czech Republic
Luxembourg,0,0,0,0,0,0,0,0,,Czech Republic
Hungary,0,0,0,0,0,0,0,0,,Czech Republic
Malta,0,0,0,0,0,0,0,,,Czech Republic
Netherlands,0,0,0,0,0,0,0,0,,Czech Republic
Austria,0,0,0,0,0,0,0,,,Czech Republic
Poland,0,0,0,0,0,0,0,0,0,Czech Republic
Portugal,0,0,0,0,0,0,0,,,Czech Republic
Romania,0,0,0,0,0,0,0,,,Czech Republic
Slovenia,0,0,0,0,0,0,0,0,,Czech Republic
Slovakia,0,0,0,0,0,0,0,,,Czech Republic
Finland,0,0,0,0,0,0,0,0,0,Czech Republic
Sweden,0,0,0,0,0,0,0,0,0,Czech Republic
United Kingdom,0,0,0,0,0,0,0,,,Czech Republic
Belgium,0,0,0,0,0,0,0,0,,Denmark
Bulgaria,0,0,0,0,0,0,0,0,,Denmark
Czech Republic,0,0,0,0,0,0,0,,,Denmark
Denmark,0,0,0,0,0,0,0,,,Denmark
Germany,0,0,0,0,0,0,0,0,,Denmark
Estonia,0,0,0,0,0,0,0,,,Denmark
Ireland,0,0,0,0,0,0,0,,,Denmark
Greece,0,0,0,0,0,0,0,,,Denmark
Spain,0,0,0,0,0,0,,,,Denmark
France,0,0,0,0,0,0,0,,,Denmark
Croatia,0,0,0,0,0,0,0,0,,Denmark
Italy,,,,,,,,,,Denmark
Cyprus,0,0,0,0,0,0,0,,,Denmark
Latvia,0,0,0,0,0,0,0,,,Denmark
Lithuania,0,0,0,0,0,0,0,0,,Denmark
Luxembourg,0,0,0,0,0,0,0,0,,Denmark
Hungary,0,0,0,0,0,0,0,0,,Denmark
Malta,0,0,0,0,0,0,0,,,Denmark
Netherlands,0,0,0,0,0,0,0,0,,Denmark
Austria,0,0,0,0,0,0,0,,,Denmark
Poland,0,0,0,0,0,0,0,0,0,Denmark
Portugal,0,0,0,0,0,0,0,,,Denmark
Romania,0,0,0,0,0,0,0,,,Denmark
Slovenia,0,0,0,0,0,0,0,0,,Denmark
Slovakia,0,0,0,0,0,0,0,,,Denmark
Finland,0,0,0,0,0,0,0,0,0,Denmark
Sweden,0,0,0,0,0,0,0,0,0,Denmark
United Kingdom,0,0,0,0,0,0,0,,,Denmark
Belgium,0,0,0,0,0,0,0,0,,Germany
Bulgaria,0,0,0,0,0,0,0,0,,Germany
Czech Republic,0,0,0,0,0,0,0,,,Germany
Denmark,0,0,0,0,0,0,0,,,Germany
Germany,0,0,0,0,0,0,0,0,,Germany
Estonia,0,0,0,0,0,0,0,,,Germany
Ireland,0,0,0,0,0,0,0,,,Germany
Greece,0,0,0,0,0,0,0,,,Germany
Spain,0,0,0,0,0,0,,,,Germany
France,0,0,0,0,0,0,0,,,Germany
Croatia,0,0,0,0,0,0,0,0,,Germany
Italy,,,,,,,,,,Germany
Cyprus,0,0,0,0,0,0,0,,,Germany
Latvia,0,0,0,0,0,0,0,,,Germany
Lithuania,0,0,0,0,0,0,0,0,,Germany
Luxembourg,0,0,0,0,0,0,0,0,,Germany
Hungary,0,0,0,0,0,0,0,0,,Germany
Malta,0,0,0,0,0,0,0,,,Germany
Netherlands,0,0,0,0,0,0,0,0,,Germany
Austria,0,0,0,0,0,0,0,,,Germany
Poland,0,0,0,0,0,0,0,0,0,Germany
Portugal,0,0,0,0,0,0,0,,,Germany
Romania,0,0,0,0,0,0,0,,,Germany
Slovenia,0,0,0,0,0,0,0,0,,Germany
Slovakia,0,0,0,0,0,0,0,,,Germany
Finland,0,0,0,0,0,0,0,0,0,Germany
Sweden,0,0,0,0,0,0,0,0,0,Germany
United Kingdom,0,0,0,0,0,0,0,,,Germany
Belgium,0,0,0,0,0,0,0,0,,Estonia
Bulgaria,0,0,0,0,0,0,0,0,,Estonia
Czech Republic,0,0,0,0,0,0,0,,,Estonia
Denmark,0,0,0,0,0,0,0,,,Estonia
Germany,0,0,0,0,0,0,0,0,,Estonia
Estonia,0,0,0,0,0,0,0,,,Estonia
Ireland,0,0,0,0,0,0,0,,,Estonia
Greece,0,0,0,0,0,0,0,,,Estonia
Spain,0,0,0,0,0,0,,,,Estonia
France,0,0,0,0,0,0,0,,,Estonia
Croatia,0,0,0,0,0,0,0,0,,Estonia
Italy,,,,,,,,,,Estonia
Cyprus,0,0,0,0,0,0,0,,,Estonia
Latvia,0,0,0,0,0,0,0,,,Estonia
Lithuania,0,0,0,0,0,0,0,0,,Estonia
Luxembourg,0,0,0,0,0,0,0,0,,Estonia
Hungary,0,0,0,0,0,0,0,0,,Estonia
Malta,0,0,0,0,0,0,0,,,Estonia
Netherlands,0,0,0,0,0,0,0,0,,Estonia
Austria,0,0,0,0,0,0,0,,,Estonia
Poland,0,0,0,0,0,0,0,0,0,Estonia
Portugal,0,0,0,0,0,0,0,,,Estonia
Romania,0,0,0,0,0,0,0,,,Estonia
Slovenia,0,0,0,0,0,0,0,0,,Estonia
Slovakia,0,0,0,0,0,0,0,,,Estonia
Finland,0,0,0,0,0,0,0,0,0,Estonia
Sweden,0,0,0,0,0,0,0,0,0,Estonia
United Kingdom,0,0,0,0,0,0,0,,,Estonia
Belgium,0,0,0,0,0,0,0,0,,Ireland
Bulgaria,0,0,0,0,0,0,0,0,,Ireland
Czech Republic,0,0,0,0,0,0,0,,,Ireland
Denmark,0,0,0,0,0,0,0,,,Ireland
Germany,0,0,0,0,0,0,0,0,,Ireland
Estonia,0,0,0,0,0,0,0,,,Ireland
Ireland,0,0,0,0,0,0,0,,,Ireland
Greece,0,0,0,0,0,0,0,,,Ireland
Spain,0,0,0,0,0,0,,,,Ireland
France,0,0,0,0,0,0,0,,,Ireland
Croatia,0,0,0,0,0,0,0,0,,Ireland
Italy,,,,,,,,,,Ireland
Cyprus,0,0,0,0,0,0,0,,,Ireland
Latvia,0,0,0,0,0,0,0,,,Ireland
Lithuania,0,0,0,0,0,0,0,0,,Ireland
Luxembourg,0,0,0,0,0,0,0,0,,Ireland
Hungary,0,0,0,0,0,0,0,0,,Ireland
Malta,0,0,0,0,0,0,0,,,Ireland
Netherlands,0,0,0,0,0,0,0,0,,Ireland
Austria,0,0,0,0,0,0,0,,,Ireland
Poland,0,0,0,0,0,0,0,0,0,Ireland
Portugal,0,0,0,0,0,0,0,,,Ireland
Romania,0,0,0,0,0,0,0,,,Ireland
Slovenia,0,0,0,0,0,0,0,0,,Ireland
Slovakia,0,0,0,0,0,0,0,,,Ireland
Finland,0,0,0,0,0,0,0,0,0,Ireland
Sweden,0,0,0,0,0,0,0,0,0,Ireland
United Kingdom,0,0,0,0,0,0,0,,,Ireland
Belgium,0,0,0,0,0,0,0,0,,Greece
Bulgaria,0,0,0,0,0,0,0,0,,Greece
Czech Republic,0,0,0,0,0,0,0,,,Greece
Denmark,0,0,0,0,0,0,0,,,Greece
Germany,0,0,0,5,5,0,0,0,,Greece
Estonia,0,0,0,0,0,0,0,,,Greece
Ireland,0,0,0,0,0,0,0,,,Greece
Greece,0,0,0,0,0,0,0,,,Greece
Spain,0,0,0,0,0,0,,,,Greece
France,0,0,0,0,0,0,0,,,Greece
Croatia,0,0,0,0,0,0,0,0,,Greece
Italy,,,,,,,,,,Greece
Cyprus,0,0,0,0,0,0,0,,,Greece
Latvia,0,0,0,0,0,0,0,,,Greece
Lithuania,0,0,0,0,0,0,0,0,,Greece
Luxembourg,0,0,0,0,0,0,0,0,,Greece
Hungary,0,0,0,0,0,0,0,0,,Greece
Malta,0,0,0,0,0,0,0,,,Greece
Netherlands,0,0,0,0,0,0,0,0,,Greece
Austria,0,0,0,0,0,0,0,,,Greece
Poland,0,0,0,0,0,0,0,0,0,Greece
Portugal,0,0,0,0,0,0,0,,,Greece
Romania,0,0,0,0,0,0,0,,,Greece
Slovenia,0,0,0,0,0,0,0,0,,Greece
Slovakia,0,0,0,0,0,0,0,,,Greece
Finland,0,0,0,0,0,0,0,0,0,Greece
Sweden,0,0,0,0,0,0,0,0,0,Greece
United Kingdom,0,0,5,0,0,0,0,,,Greece
Belgium,0,0,0,0,0,0,0,0,,Spain
Bulgaria,0,0,0,0,0,0,0,0,,Spain
Czech Republic,0,0,0,0,0,0,0,,,Spain
Denmark,0,0,0,0,0,0,0,,,Spain
Germany,0,0,0,0,0,0,0,0,,Spain
Estonia,0,0,0,0,0,0,0,,,Spain
Ireland,0,0,0,0,0,0,0,,,Spain
Greece,0,0,0,0,0,0,0,,,Spain
Spain,0,0,0,0,0,0,,,,Spain
France,0,0,0,0,0,0,0,,,Spain
Croatia,0,0,0,0,0,0,0,0,,Spain
Italy,,,,,,,,,,Spain
Cyprus,0,0,0,0,0,0,0,,,Spain
Latvia,0,0,0,0,0,0,0,,,Spain
Lithuania,0,0,0,0,0,0,0,0,,Spain
Luxembourg,0,0,0,0,0,0,0,0,,Spain
Hungary,0,0,0,0,0,0,0,0,,Spain
Malta,0,0,0,0,0,0,0,,,Spain
Netherlands,0,0,0,0,0,0,0,0,,Spain
Austria,0,0,0,0,0,0,0,,,Spain
Poland,0,0,0,0,0,0,0,0,0,Spain
Portugal,0,0,0,0,0,0,0,,,Spain
Romania,0,0,0,0,0,0,0,,,Spain
Slovenia,0,0,0,0,0,0,0,0,,Spain
Slovakia,0,0,0,0,0,0,0,,,Spain
Finland,0,0,0,0,0,0,0,0,0,Spain
Sweden,0,0,0,0,0,5,0,0,0,Spain
United Kingdom,0,0,0,0,0,0,0,,,Spain
Belgium,0,0,0,0,0,0,0,0,,France
Bulgaria,0,0,0,0,0,0,0,0,,France
Czech Republic,0,0,0,0,0,0,0,,,France
Denmark,0,0,0,0,0,0,0,,,France
Germany,0,0,0,0,0,0,0,0,,France
Estonia,0,0,0,0,0,0,0,,,France
Ireland,0,0,0,0,0,0,0,,,France
Greece,0,0,0,0,0,0,0,,,France
Spain,0,0,0,0,0,0,,,,France
France,0,0,0,0,0,0,0,,,France
Croatia,0,0,0,0,0,0,0,0,,France
Italy,,,,,,,,,,France
Cyprus,0,0,0,0,0,0,0,,,France
Latvia,0,0,0,0,0,0,0,,,France
Lithuania,0,0,0,0,0,0,0,0,,France
Luxembourg,0,0,0,0,0,0,0,0,,France
Hungary,0,0,0,0,0,0,0,0,,France
Malta,0,0,0,0,0,0,0,,,France
Netherlands,0,0,0,0,0,0,0,0,,France
Austria,0,0,0,0,0,0,0,,,France
Poland,0,0,0,0,0,0,0,0,0,France
Portugal,0,0,0,0,0,0,0,,,France
Romania,0,0,0,0,0,0,0,,,France
Slovenia,0,0,0,0,0,0,0,0,,France
Slovakia,0,0,0,0,0,0,0,,,France
Finland,0,0,0,0,0,0,0,0,0,France
Sweden,0,0,0,0,0,0,0,0,0,France
United Kingdom,0,0,0,0,0,0,0,,,France
Belgium,0,0,0,0,0,0,0,0,,Croatia
Bulgaria,0,0,0,0,0,0,0,0,,Croatia
Czech Republic,0,0,0,0,0,0,0,,,Croatia
Denmark,0,0,0,0,0,0,0,,,Croatia
Germany,0,0,0,5,0,0,0,5,,Croatia
Estonia,0,0,0,0,0,0,0,,,Croatia
Ireland,0,0,0,0,0,0,0,,,Croatia
Greece,0,0,0,0,0,0,0,,,Croatia
Spain,0,0,0,0,0,0,,,,Croatia
France,0,0,0,0,0,0,0,,,Croatia
Croatia,0,0,0,0,0,0,0,0,,Croatia
Italy,,,,,,,,,,Croatia
Cyprus,0,0,0,0,0,0,0,,,Croatia
Latvia,0,0,0,0,0,0,0,,,Croatia
Lithuania,0,0,0,0,0,0,0,0,,Croatia
Luxembourg,0,0,0,0,0,0,0,0,,Croatia
Hungary,0,0,0,0,0,0,0,0,,Croatia
Malta,0,0,0,0,0,0,0,,,Croatia
Netherlands,0,0,0,0,0,0,0,0,,Croatia
Austria,0,0,0,0,0,0,0,,,Croatia
Poland,0,0,0,0,0,0,0,0,0,Croatia
Portugal,0,0,0,0,0,0,0,,,Croatia
Romania,0,0,0,0,0,0,0,,,Croatia
Slovenia,0,0,0,0,0,0,0,0,,Croatia
Slovakia,0,0,0,0,0,0,0,,,Croatia
Finland,0,0,0,0,0,0,0,0,0,Croatia
Sweden,0,0,5,0,0,0,0,5,0,Croatia
United Kingdom,0,0,0,0,0,0,0,,,Croatia
Belgium,0,0,0,0,0,0,0,0,,Italy
Bulgaria,0,0,0,0,0,0,0,0,,Italy
Czech Republic,0,0,0,0,0,0,0,,,Italy
Denmark,0,0,0,0,0,0,0,,,Italy
Germany,0,0,0,0,0,5,0,0,,Italy
Estonia,0,0,0,0,0,0,0,,,Italy
Ireland,0,0,0,0,0,0,0,,,Italy
Greece,0,0,0,0,0,0,0,,,Italy
Spain,0,0,0,0,0,0,,,,Italy
France,0,0,0,0,0,0,0,,,Italy
Croatia,0,0,0,0,0,0,0,0,,Italy
Italy,,,,,,,,,,Italy
Cyprus,0,0,0,0,0,0,0,,,Italy
Latvia,0,0,0,0,0,0,0,,,Italy
Lithuania,0,0,0,0,0,0,0,0,,Italy
Luxembourg,0,0,0,0,0,0,0,0,,Italy
Hungary,0,0,0,0,0,0,0,0,,Italy
Malta,0,0,0,0,0,0,0,,,Italy
Netherlands,0,0,0,0,0,0,0,0,,Italy
Austria,0,0,0,0,0,0,0,,,Italy
Poland,0,0,0,0,0,0,0,0,0,Italy
Portugal,0,0,0,0,0,0,0,,,Italy
Romania,0,0,0,0,0,0,0,,,Italy
Slovenia,0,0,0,0,0,0,0,0,,Italy
Slovakia,0,0,0,0,0,0,0,,,Italy
Finland,0,0,0,0,0,0,0,0,0,Italy
Sweden,0,0,0,0,0,0,0,0,0,Italy
United Kingdom,0,0,0,0,0,0,0,,,Italy
Belgium,0,0,0,0,0,0,0,0,,Cyprus
Bulgaria,0,0,0,0,0,0,0,0,,Cyprus
Czech Republic,0,0,0,0,0,0,0,,,Cyprus
Denmark,0,0,0,0,0,0,0,,,Cyprus
Germany,0,0,0,0,0,0,0,0,,Cyprus
Estonia,0,0,0,0,0,0,0,,,Cyprus
Ireland,0,0,0,0,0,0,0,,,Cyprus
Greece,0,0,0,0,0,0,0,,,Cyprus
Spain,0,0,0,0,0,0,,,,Cyprus
France,0,0,0,0,0,0,0,,,Cyprus
Croatia,0,0,0,0,0,0,0,0,,Cyprus
Italy,,,,,,,,,,Cyprus
Cyprus,0,0,0,0,0,0,0,,,Cyprus
Latvia,0,0,0,0,0,0,0,,,Cyprus
Lithuania,0,0,0,0,0,0,0,0,,Cyprus
Luxembourg,0,0,0,0,0,0,0,0,,Cyprus
Hungary,0,0,0,0,0,0,0,0,,Cyprus
Malta,0,0,0,0,0,0,0,,,Cyprus
Netherlands,0,0,0,0,0,0,0,0,,Cyprus
Austria,0,0,0,0,0,0,0,,,Cyprus
Poland,0,0,0,0,0,0,0,0,0,Cyprus
Portugal,0,0,0,0,0,0,0,,,Cyprus
Romania,0,0,0,0,0,0,0,,,Cyprus
Slovenia,0,0,0,0,0,0,0,0,,Cyprus
Slovakia,0,0,0,0,0,0,0,,,Cyprus
Finland,0,0,0,0,0,0,0,0,0,Cyprus
Sweden,0,0,0,0,0,0,0,0,0,Cyprus
United Kingdom,0,0,0,0,0,0,0,,,Cyprus
Belgium,0,0,0,0,0,0,0,0,,Latvia
Bulgaria,0,0,0,0,0,0,0,0,,Latvia
Czech Republic,0,0,0,0,0,0,0,,,Latvia
Denmark,0,0,0,0,0,0,0,,,Latvia
Germany,0,0,0,0,0,0,0,0,,Latvia
Estonia,0,0,0,0,0,0,0,,,Latvia
Ireland,0,0,0,0,0,0,0,,,Latvia
Greece,0,0,0,0,0,0,0,,,Latvia
Spain,0,0,0,0,0,0,,,,Latvia
France,0,0,0,0,0,0,0,,,Latvia
Croatia,0,0,0,0,0,0,0,0,,Latvia
Italy,,,,,,,,,,Latvia
Cyprus,0,0,0,0,0,0,0,,,Latvia
Latvia,0,0,0,0,0,0,0,,,Latvia
Lithuania,0,0,0,0,0,0,0,0,,Latvia
Luxembourg,0,0,0,0,0,0,0,0,,Latvia
Hungary,0,0,0,0,0,0,0,0,,Latvia
Malta,0,0,0,0,0,0,0,,,Latvia
Netherlands,0,0,0,0,0,0,0,0,,Latvia
Austria,0,0,0,0,0,0,0,,,Latvia
Poland,0,0,0,0,0,0,0,0,0,Latvia
Portugal,0,0,0,0,0,0,0,,,Latvia
Romania,0,0,0,0,0,0,0,,,Latvia
Slovenia,0,0,0,0,0,0,0,0,,Latvia
Slovakia,0,0,0,0,0,0,0,,,Latvia
Finland,0,0,0,0,0,0,0,0,0,Latvia
Sweden,0,0,0,0,0,0,0,0,0,Latvia
United Kingdom,0,5,0,0,0,0,5,,,Latvia
Belgium,0,0,5,0,0,0,0,0,,Lithuania
Bulgaria,0,0,0,0,0,0,0,0,,Lithuania
Czech Republic,0,0,0,0,0,0,0,,,Lithuania
Denmark,0,0,0,0,0,0,0,,,Lithuania
Germany,0,0,0,0,0,0,0,0,,Lithuania
Estonia,0,0,0,0,0,0,0,,,Lithuania
Ireland,0,0,0,0,0,0,0,,,Lithuania
Greece,0,0,0,0,0,0,0,,,Lithuania
Spain,0,0,0,0,0,0,,,,Lithuania
France,0,0,0,0,0,0,0,,,Lithuania
Croatia,0,0,0,0,0,0,0,0,,Lithuania
Italy,,,,,,,,,,Lithuania
Cyprus,0,0,0,0,0,0,0,,,Lithuania
Latvia,0,0,0,0,0,0,0,,,Lithuania
Lithuania,0,0,0,0,0,0,0,0,,Lithuania
Luxembourg,0,0,0,0,0,0,0,0,,Lithuania
Hungary,0,0,0,0,0,0,0,0,,Lithuania
Malta,0,0,0,0,0,0,0,,,Lithuania
Netherlands,0,0,0,0,0,0,0,0,,Lithuania
Austria,0,0,0,0,0,0,0,,,Lithuania
Poland,0,0,0,0,0,0,0,0,0,Lithuania
Portugal,0,0,0,0,0,0,0,,,Lithuania
Romania,0,0,0,0,0,0,0,,,Lithuania
Slovenia,0,0,0,0,0,0,0,0,,Lithuania
Slovakia,0,0,0,0,0,0,0,,,Lithuania
Finland,0,0,0,0,0,0,0,0,0,Lithuania
Sweden,0,0,0,0,0,0,0,0,0,Lithuania
United Kingdom,0,5,5,5,5,5,0,,,Lithuania
Belgium,0,0,0,0,0,0,0,0,,Luxembourg
Bulgaria,0,0,0,0,0,0,0,0,,Luxembourg
Czech Republic,0,0,0,0,0,0,0,,,Luxembourg
Denmark,0,0,0,0,0,0,0,,,Luxembourg
Germany,0,0,0,0,0,0,0,0,,Luxembourg
Estonia,0,0,0,0,0,0,0,,,Luxembourg
Ireland,0,0,0,0,0,0,0,,,Luxembourg
Greece,0,0,0,0,0,0,0,,,Luxembourg
Spain,0,0,0,0,0,0,,,,Luxembourg
France,0,0,0,0,0,0,0,,,Luxembourg
Croatia,0,0,0,0,0,0,0,0,,Luxembourg
Italy,,,,,,,,,,Luxembourg
Cyprus,0,0,0,0,0,0,0,,,Luxembourg
Latvia,0,0,0,0,0,0,0,,,Luxembourg
Lithuania,0,0,0,0,0,0,0,0,,Luxembourg
Luxembourg,0,0,0,0,0,0,0,0,,Luxembourg
Hungary,0,0,0,0,0,0,0,0,,Luxembourg
Malta,0,0,0,0,0,0,0,,,Luxembourg
Netherlands,0,0,0,0,0,0,0,0,,Luxembourg
Austria,0,0,0,0,0,0,0,,,Luxembourg
Poland,0,0,0,0,0,0,0,0,0,Luxembourg
Portugal,0,0,0,0,0,0,0,,,Luxembourg
Romania,0,0,0,0,0,0,0,,,Luxembourg
Slovenia,0,0,0,0,0,0,0,0,,Luxembourg
Slovakia,0,0,0,0,0,0,0,,,Luxembourg
Finland,0,0,0,0,0,0,0,0,0,Luxembourg
Sweden,0,0,0,0,0,0,0,0,0,Luxembourg
United Kingdom,0,0,0,0,0,0,0,,,Luxembourg
Belgium,0,0,0,0,0,0,0,0,,Hungary
Bulgaria,0,0,0,0,0,0,0,0,,Hungary
Czech Republic,0,0,0,0,0,0,0,,,Hungary
Denmark,0,0,0,0,0,0,0,,,Hungary
Germany,0,0,0,0,0,0,0,0,,Hungary
Estonia,0,0,0,0,0,0,0,,,Hungary
Ireland,0,0,0,0,0,0,0,,,Hungary
Greece,0,0,0,0,0,0,0,,,Hungary
Spain,0,0,0,0,0,0,,,,Hungary
France,0,0,0,0,0,0,0,,,Hungary
Croatia,0,0,0,0,0,0,0,0,,Hungary
Italy,,,,,,,,,,Hungary
Cyprus,0,0,0,0,0,0,0,,,Hungary
Latvia,0,0,0,0,0,0,0,,,Hungary
Lithuania,0,0,0,0,0,0,0,0,,Hungary
Luxembourg,0,0,0,0,0,0,0,0,,Hungary
Hungary,0,0,0,0,0,0,0,0,,Hungary
Malta,0,0,0,0,0,0,0,,,Hungary
Netherlands,0,0,0,0,0,0,0,0,,Hungary
Austria,0,0,0,0,0,0,0,,,Hungary
Poland,0,0,0,0,0,0,0,0,0,Hungary
Portugal,0,0,0,0,0,0,0,,,Hungary
Romania,0,0,0,0,0,0,0,,,Hungary
Slovenia,0,0,0,0,0,0,0,0,,Hungary
Slovakia,0,0,0,0,0,0,0,,,Hungary
Finland,0,0,0,0,0,0,0,0,0,Hungary
Sweden,0,0,0,0,0,0,0,5,0,Hungary
United Kingdom,0,0,0,0,0,0,0,,,Hungary
Belgium,0,0,0,0,0,0,0,0,,Malta
Bulgaria,0,0,0,0,0,0,0,0,,Malta
Czech Republic,0,0,0,0,0,0,0,,,Malta
Denmark,0,0,0,0,0,0,0,,,Malta
Germany,0,0,0,0,0,0,0,0,,Malta
Estonia,0,0,0,0,0,0,0,,,Malta
Ireland,0,0,0,0,0,0,0,,,Malta
Greece,0,0,0,0,0,0,0,,,Malta
Spain,0,0,0,0,0,0,,,,Malta
France,0,0,0,0,0,0,0,,,Malta
Croatia,0,0,0,0,0,0,0,0,,Malta
Italy,,,,,,,,,,Malta
Cyprus,0,0,0,0,0,0,0,,,Malta
Latvia,0,0,0,0,0,0,0,,,Malta
Lithuania,0,0,0,0,0,0,0,0,,Malta
Luxembourg,0,0,0,0,0,0,0,0,,Malta
Hungary,0,0,0,0,0,0,0,0,,Malta
Malta,0,0,0,0,0,0,0,,,Malta
Netherlands,0,0,0,0,0,0,0,0,,Malta
Austria,0,0,0,0,0,0,0,,,Malta
Poland,0,0,0,0,0,0,0,0,0,Malta
Portugal,0,0,0,0,0,0,0,,,Malta
Romania,0,0,0,0,0,0,0,,,Malta
Slovenia,0,0,0,0,0,0,0,0,,Malta
Slovakia,0,0,0,0,0,0,0,,,Malta
Finland,0,0,0,0,0,0,0,0,0,Malta
Sweden,0,0,0,0,0,0,0,0,0,Malta
United Kingdom,0,0,0,0,0,0,0,,,Malta
Belgium,0,0,0,0,0,0,0,0,,Netherlands
Bulgaria,0,0,0,0,0,0,0,0,,Netherlands
Czech Republic,0,0,0,0,0,0,0,,,Netherlands
Denmark,0,0,0,0,0,0,0,,,Netherlands
Germany,0,0,0,0,0,0,0,0,,Netherlands
Estonia,0,0,0,0,0,0,0,,,Netherlands
Ireland,0,0,0,0,0,0,0,,,Netherlands
Greece,0,0,0,0,0,0,0,,,Netherlands
Spain,0,0,0,0,0,0,,,,Netherlands
France,0,0,0,0,0,0,0,,,Netherlands
Croatia,0,0,0,0,0,0,0,0,,Netherlands
Italy,,,,,,,,,,Netherlands
Cyprus,0,0,0,0,0,0,0,,,Netherlands
Latvia,0,0,0,0,0,0,0,,,Netherlands
Lithuania,0,0,0,0,0,0,0,0,,Netherlands
Luxembourg,0,0,0,0,0,0,0,0,,Netherlands
Hungary,0,0,0,0,0,0,0,0,,Netherlands
Malta,0,0,0,0,0,0,0,,,Netherlands
Netherlands,0,0,0,0,0,0,0,0,,Netherlands
Austria,0,0,0,0,0,0,0,,,Netherlands
Poland,0,0,0,0,0,0,0,0,0,Netherlands
Portugal,0,0,0,0,0,0,0,,,Netherlands
Romania,0,0,0,0,0,0,0,,,Netherlands
Slovenia,0,0,0,0,0,0,0,0,,Netherlands
